Thời gian,ID Gói,Điện Áp (V),Loại Khung,Tỷ lệ lỗi TX (%),Trễ TX (us)
21/06/2026 20:43:23,5240,-0.002,HUF,19.21756,798
21/06/2026 20:43:27,5245,1.594,HUF,19.29457,798
21/06/2026 20:43:32,5250,1.595,HUF,19.37143,798
21/06/2026 20:43:41,5257,1.594,HUF,19.47879,798
21/06/2026 20:43:46,5263,1.594,HUF,19.57059,798
21/06/2026 20:43:51,5268,1.594,HUF,19.64692,798
21/06/2026 20:43:55,5271,1.593588,GOC,19.69266,798
21/06/2026 20:44:01,5279,1.594,HUF,19.81436,798
21/06/2026 20:44:05,5282,1.593,HUF,19.8599,798
21/06/2026 20:44:10,5287,1.593,HUF,19.93569,798
21/06/2026 20:44:14,5292,1.594,HUF,20.01134,798
21/06/2026 20:44:18,5295,1.6,HUF,20.05666,798
21/06/2026 20:44:22,5299,1.611,HUF,20.117,798
21/06/2026 20:44:26,5304,1.627,HUF,20.19231,798
21/06/2026 20:44:31,5308,1.59,HUF,20.25245,798
21/06/2026 20:44:36,5313,1.587,HUF,20.3275,798
21/06/2026 20:44:41,5318,1.591,HUF,20.40241,798
21/06/2026 20:44:45,5322,1.592,HUF,20.46223,798
21/06/2026 20:44:49,5325,1.593,HUF,20.50704,798
21/06/2026 20:44:55,5332,1.592,HUF,20.6114,798
21/06/2026 20:45:00,5337,1.59,HUF,20.68578,798
21/06/2026 20:45:04,5340,1.585,HUF,20.73034,798
21/06/2026 20:45:09,5346,1.589025,GOC,20.81931,798
21/06/2026 20:45:14,5351,1.589806,GOC,20.89329,798
21/06/2026 20:45:19,5356,1.590619,GOC,20.96714,798
21/06/2026 20:45:23,5361,1.588962,GOC,21.04085,798
21/06/2026 20:45:27,5365,1.586,HUF,21.09972,798
21/06/2026 20:45:32,5369,1.577,HUF,21.1585,798
21/06/2026 20:45:36,5373,1.585,HUF,21.2172,798
21/06/2026 20:45:40,5378,1.585,HUF,21.27185,6355
21/06/2026 20:45:44,5382,1.585,HUF,21.33036,6355
21/06/2026 20:45:49,5386,1.585931,GOC,21.38879,6355
21/06/2026 20:45:55,5392,1.585,HUF,21.47626,6355
21/06/2026 20:45:59,5396,1.584837,GOC,21.53447,6355
21/06/2026 20:46:04,5401,1.58065,GOC,21.60711,6355
21/06/2026 20:46:08,5405,1.578,HUF,21.66512,6355
21/06/2026 20:46:12,5409,1.584,HUF,21.72305,6355
21/06/2026 20:46:16,5414,1.585,HUF,21.79535,6355
21/06/2026 20:46:20,5417,1.581,HUF,21.83866,6355
21/06/2026 20:46:24,5421,1.579931,GOC,21.89633,6355
21/06/2026 20:46:28,5426,1.581087,GOC,21.9683,6355
21/06/2026 20:46:36,5433,1.58,HUF,22.06884,6355
21/06/2026 20:46:41,5438,1.583,HUF,22.14049,6355
21/06/2026 20:46:45,5442,1.579,HUF,22.19772,6355
21/06/2026 20:46:49,5445,1.578,HUF,22.22222,16752
21/06/2026 20:46:54,5449,1.57,HUF,22.27932,16752
21/06/2026 20:46:58,5455,1.575,HUF,22.3648,16752
21/06/2026 20:47:03,5460,1.577,HUF,22.4359,16752
21/06/2026 20:47:08,5465,1.577,HUF,22.50686,16752
21/06/2026 20:47:12,5469,1.579,HUF,22.56354,16752
21/06/2026 20:47:16,5473,1.578,HUF,22.62014,16752
21/06/2026 20:47:21,5478,1.583,HUF,22.69076,16752
21/06/2026 20:47:25,5482,1.577,HUF,22.74717,16752
21/06/2026 20:47:30,5486,1.575869,GOC,22.8035,16752
21/06/2026 20:47:35,5491,1.5769,GOC,22.87379,16752
21/06/2026 20:47:39,5496,1.576337,GOC,22.94396,16752
21/06/2026 20:47:43,5499,1.576,HUF,22.986,16752
21/06/2026 20:47:47,5503,1.576,HUF,23.04198,16752
21/06/2026 20:47:52,5509,1.592,HUF,23.1258,16752
21/06/2026 20:47:56,5513,1.574,HUF,23.18157,16752
21/06/2026 20:48:00,5516,1.575556,GOC,23.22335,16752
21/06/2026 20:48:10,5526,1.574212,GOC,23.36229,16752
21/06/2026 20:48:14,5531,1.573462,GOC,23.43157,16752
21/06/2026 20:48:19,5535,1.575,HUF,23.4869,16752
21/06/2026 20:48:23,5540,1.581,HUF,23.55596,16752
21/06/2026 20:48:27,5544,1.573,HUF,23.61111,16752
21/06/2026 20:48:33,5549,1.573,HUF,23.67994,16752
21/06/2026 20:48:36,5553,1.574,HUF,23.73492,16752
21/06/2026 20:48:41,5557,1.579,HUF,23.78981,16752
21/06/2026 20:48:46,5562,1.572,HUF,23.85832,16752
21/06/2026 20:48:51,5565,1.578,HUF,23.89937,16752
21/06/2026 20:48:55,5571,1.571306,GOC,23.98133,16752
21/06/2026 20:48:59,5575,1.57,HUF,24.03587,16752
21/06/2026 20:52:47,5802,1.57,HUF,27.00793,16752
21/06/2026 20:52:52,5806,1.5529,GOC,27.05822,16752
21/06/2026 20:54:28,5900,1.553,HUF,28.22034,16752
21/06/2026 20:54:32,5908,1.551,HUF,28.31754,16752
21/06/2026 20:54:59,5934,1.547,HUF,28.63161,16752
21/06/2026 20:55:04,5935,1.542,HUF,28.64364,16752
21/06/2026 20:55:21,5956,1.541431,GOC,28.89523,16752
21/06/2026 20:55:26,5959,1.539,HUF,28.93103,16752
21/06/2026 20:55:31,5965,1.542,HUF,29.00251,16752
21/06/2026 20:55:35,5968,1.543,HUF,29.0382,16752
21/06/2026 20:55:39,5973,1.548,HUF,29.0976,16752
21/06/2026 20:55:54,5988,1.552,HUF,29.27522,16752
21/06/2026 20:55:59,5994,1.571,HUF,29.34601,16752
21/06/2026 20:56:03,5996,1.540337,GOC,29.36958,16752
21/06/2026 20:57:17,6071,3.822906,GOC,30.24214,16752
21/06/2026 20:57:22,6076,3.818812,GOC,30.29954,16752
21/06/2026 20:57:26,6080,3.818,HUF,30.3454,16752
21/06/2026 20:57:31,6086,3.817812,GOC,30.41407,16752
21/06/2026 20:57:36,6090,3.817,HUF,30.45977,16752
21/06/2026 20:57:40,6093,3.814,HUF,30.49401,16752
21/06/2026 20:57:44,6099,3.815,HUF,30.56239,16752
21/06/2026 20:57:47,6101,3.811437,GOC,30.58515,16752
21/06/2026 20:57:52,6106,3.812406,GOC,30.64199,16752
21/06/2026 20:57:55,6110,3.81,HUF,30.6874,16752
21/06/2026 20:58:00,6114,3.81,HUF,30.73274,16752
21/06/2026 20:58:04,6118,3.809,HUF,30.77803,16752
21/06/2026 20:58:08,6121,3.808312,GOC,30.81196,16752
21/06/2026 20:58:13,6127,3.809,HUF,30.87971,16752
21/06/2026 20:58:21,6131,3.807094,GOC,30.92481,16752
21/06/2026 20:58:25,6139,3.805,HUF,31.01482,16752
21/06/2026 20:58:30,6144,3.805,HUF,31.07096,16752
21/06/2026 20:58:34,6148,3.809,HUF,31.11581,16752
21/06/2026 20:58:39,6153,3.811,HUF,31.17179,16752
21/06/2026 20:58:43,6155,3.814,HUF,31.19415,16752
21/06/2026 20:58:52,6166,4.336563,GOC,31.3169,16752
21/06/2026 20:58:57,6169,4.243,HUF,31.3503,16752
21/06/2026 20:59:02,6172,4.218,HUF,31.38367,16752
21/06/2026 20:59:15,6188,4.770594,GOC,31.56108,16752
21/06/2026 20:59:19,6192,4.784,HUF,31.6053,16752
21/06/2026 20:59:48,6221,4.955781,GOC,31.92413,16752
21/06/2026 20:59:56,6230,4.945,HUF,32.02247,16752
21/06/2026 21:00:05,6238,4.884,HUF,32.10965,16752
21/06/2026 21:00:10,6241,4.938469,GOC,32.14228,16752
21/06/2026 21:00:19,6253,4.931,HUF,32.27251,16752
21/06/2026 21:00:24,6255,4.898,HUF,32.29417,16752
21/06/2026 21:00:40,6273,4.87,HUF,32.48844,16752
21/06/2026 21:00:51,6284,4.893,HUF,32.60662,16752
21/06/2026 21:04:24,6495,0.001,HUF,34.796,16752
21/06/2026 21:04:35,6507,0.006,HUF,34.91624,16752
21/06/2026 21:04:50,6522,0.002,HUF,35.06593,16752
21/06/2026 21:04:55,6528,0.123,HUF,35.12561,16752
21/06/2026 21:05:21,6553,0.243,HUF,35.37311,16752
21/06/2026 21:05:28,6554,0.345,HUF,35.38297,16752
21/06/2026 21:05:32,6562,0.446,HUF,35.46175,16752
21/06/2026 21:05:37,6568,0.524,HUF,35.52071,16752
21/06/2026 21:13:48,4,4.955,HUF,0,766
21/06/2026 21:13:52,9,4.951,HUF,0,1826
21/06/2026 21:13:59,15,4.958,HUF,0,1151
21/06/2026 21:14:03,20,4.954,HUF,0,825
21/06/2026 21:14:08,25,4.964,HUF,0,1415
21/06/2026 21:14:12,29,4.973,HUF,0,2812
21/06/2026 21:14:16,33,4.951,HUF,0,2619
21/06/2026 21:14:21,38,4.959,HUF,0,827
21/06/2026 21:14:25,42,4.933,HUF,0,785
21/06/2026 21:14:29,46,4.956438,GOC,0,2859
21/06/2026 21:14:33,50,4.945,HUF,0,1615
